"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","index","Tackles Attempted","Tackles Attempted/90","Tackles Completed","Tackles Completed/90","Tackles Failed","Tackle Completion %","Tackles Failed/90","Key Tackles","Key Tackles/90","Tackle Quality","Interceptions","Interceptions/90","Blocks","Blocks/90","Shots Blocked","Shots Blocked/90","Headers Attempted","Headers Attempted/90","Headers Won","Headers Won/90","Headers Won %","Headers Lost","Headers Lost/90","Headers Lost %","Key Headers","Key Headers/90","Aerial Challenges Attempted/90","Duels Win %","Fouls Against","Fouls Made","Net Fouls","Fouls Won/90","Fouls Committed/90","Clearances","Clearances/90","Red Cards","Yellow Cards","Yellows/Tackle","Reds/Tackle","Yellows/90","Reds/90","Player of the Match","Mistakes Leading to Goal","Sprints/90","Attacking Actions/90","Creative Actions/90","Defensive Actions/90","Goalkeeping Actions/90","Excitement Factor/90","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister"
"Corentin Tolisso","D (C), DM, M/AM (C)",29,"181 cm","81 kg","-","Lyon","Ligue 1 Uber Eats","FRA (TOG)","-","-","Scouting Required","$99,000 p/w","$550K - $5.6M","-","Right",16,1251,7.02,0,78.19,0,30,2.16,22,1.58,8,73,0.58,2,0.14,3.75,17,1.22,7,0.5,4,0.29,52,3.74,28,2.01,53.85,24,1.73,46.15,4,0.29,3.74,60.98,7,8,1,0.5,0.58,9,0.65,0,0,0,0,0,0,0,0,15.11,1.97,1.73,12.68,0,4.53,89,100,2,80,94,97,96,97,96,98,97,99,5,0,80
"Quinten Timber","D (C), DM, M/AM (C)",22,"177 cm","71 kg","-","Feyenoord","Eredivisie","NED (CUW)","-","Spirited","Evasive, Reserved","$18,250 p/w","$53M - $77M","-","Right",15,1325,7.05,3,73.61,1,31,2.11,28,1.9,3,90,0.2,0,0,4.43,26,1.77,6,0.41,1,0.07,67,4.55,27,1.83,40.3,40,2.72,59.7,2,0.14,4.55,56.12,6,7,1,0.41,0.48,7,0.48,0,1,0.03,0,0.07,0,0,0,12.29,2.02,3.06,9.03,0,5.3,98,100,4,97,99,99,96,98,98,97,98,77,3,3,99
"Benedikt Gimber","D (C), DM, M (C)",26,"187 cm","85 kg","-","FC Heidenheim","Bundesliga","GER","-","-","Scouting Required","$15,500 p/w","$325K - $3.3M","-","Left",18,1468,6.59,0,81.56,2,53,3.25,34,2.08,19,64,1.16,1,0.06,1.56,26,1.59,7,0.43,3,0.18,75,4.6,53,3.25,70.67,22,1.35,29.33,5,0.31,4.6,67.97,2,34,32,0.12,2.08,28,1.72,1,3,0.06,0.02,0.18,0.06,0,0,10.85,1.03,0.55,13.76,0,1.84,71,100,3,49,86,50,46,50,65,66,59,74,12,5,79
"Florian Grillitsch","D (C), DM, M (C)",28,"187 cm","77 kg","-","TSG Hoffenheim","Bundesliga","AUT","-","-","Scouting Required","$45,000 p/w","$9.8M - $15.5M","-","Right",13,1169,6.87,3,73.06,3,36,2.77,20,1.54,16,56,1.23,0,0,3.6,23,1.77,5,0.38,2,0.15,56,4.31,22,1.69,39.29,34,2.62,60.71,4,0.31,4.31,45.65,5,10,5,0.38,0.77,10,0.77,0,0,0,0,0,0,1,1,12.7,1.36,1.23,10.66,0,3,97,100,0,81,97,98,96,92,97,97,98,95,7,2,89
"Dario Van Den Buijs","D (C), DM, M (C)",28,"182 cm","75 kg","-","RKC Waalwijk","Eredivisie","BEL","-","-","Scouting Required","$1,900 p/w","$800K - $1.8M","-","Left",17,1530,6.58,0,90,4,22,1.29,16,0.94,6,73,0.35,6,0.35,3.14,35,2.06,11,0.65,9,0.53,97,5.71,65,3.82,67.01,32,1.88,32.99,10,0.59,5.71,68.07,2,7,5,0.12,0.41,26,1.53,0,3,0.14,0,0.18,0,0,0,3.94,0.12,0,17.18,0,0.29,3,100,47,12,2,12,26,16,11,7,14,29,32,39,35
"Raniele","D (C), DM, M (C)",26,"184 cm","78 kg","-","COR","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$8,250 p/w","$6.2M - $12M","-","Right",13,1199,7.04,9,54.5,5,45,3.38,35,2.63,10,78,0.75,3,0.23,2.14,25,1.88,6,0.45,3,0.23,45,3.38,31,2.33,68.89,14,1.05,31.11,4,0.3,3.38,73.33,9,21,12,0.68,1.58,13,0.98,0,1,0.02,0,0.08,0,1,0,9.38,1.62,2.1,14.98,0,4.58,99,100,24,94,99,98,93,97,96,96,95,78,6,11,95
"Luke O'Nien","D (C), DM, M (C)",29,"177 cm","76 kg","-","Sunderland","Sky Bet Championship","ENG (SGP)","Trained in nation (15-21)","-","Scouting Required","$11,250 p/w","$1.1M - $11M","-","Right",26,2295,6.9,0,88.27,6,31,1.22,25,0.98,6,81,0.24,5,0.2,1.94,53,2.08,27,1.06,19,0.75,168,6.59,99,3.88,58.93,69,2.71,41.07,18,0.71,6.59,62.31,1,16,15,0.04,0.63,36,1.41,0,3,0.1,0,0.12,0,1,0,4.31,0.44,0.2,17.01,0,0.67,11,100,70,32,5,25,48,22,27,21,35,57,45,43,28
"Anthony Briançon","D (C), DM, M (C)",29,"185 cm","79 kg","-","Brest","Ligue 1 Uber Eats","FRA","-","-","Scouting Required","$13,250 p/w","$220K - $2.2M","-","Right",17,1530,6.52,0,90,7,21,1.24,15,0.88,6,71,0.35,4,0.24,2.1,30,1.76,9,0.53,7,0.41,78,4.59,46,2.71,58.97,32,1.88,41.03,6,0.35,4.59,61.62,1,10,9,0.06,0.59,22,1.29,0,3,0.14,0,0.18,0,0,0,4.71,0.2,0,12.41,0,0.65,8,100,16,16,8,4,4,15,2,4,1,4,11,6,0
"Edimilson Fernandes","D (C), DM, M (C)",27,"187 cm","77 kg","-","Mainz 05","Bundesliga","SUI (CPV)","-","Balanced","Media-friendly","$37,000 p/w","$475K - $6.4M","-","Right",18,1620,6.58,0,90,8,32,1.78,25,1.39,7,78,0.39,8,0.44,1.88,36,2,5,0.28,3,0.17,76,4.22,44,2.44,57.89,32,1.78,42.11,8,0.44,4.22,63.89,2,17,15,0.11,0.94,25,1.39,0,1,0.03,0,0.06,0,0,1,4.78,0.21,0.22,15.27,0,0.61,34,100,39,29,19,36,12,46,23,50,22,52,13,20,35
"Krystian Bielik","D (C), DM, M (C)",25,"189 cm","78 kg","-","Birmingham","Sky Bet Championship","POL","Trained in nation (15-21)","-","Scouting Required","$20,000 p/w","$6M - $9.6M","-","Right",21,1846,6.73,0,87.9,9,39,1.9,30,1.46,9,77,0.44,2,0.1,1.95,20,0.98,15,0.73,11,0.54,138,6.73,113,5.51,81.88,25,1.22,18.12,28,1.37,6.73,80.79,3,20,17,0.15,0.98,19,0.93,1,1,0.03,0.03,0.05,0.05,0,2,5.61,0.48,0.15,21.89,0,1.22,26,100,26,8,24,16,25,22,19,15,18,45,84,48,0
"Robert Andrich","D (C), DM, M (C)",29,"186 cm","85 kg","Wnt","Bayer 04","Bundesliga","GER","-","-","Scouting Required","$56,000 p/w","$18M - $22M","-","Right",15,1310,7,6,62.38,10,38,2.61,25,1.72,13,66,0.89,0,0,1.52,25,1.72,3,0.21,1,0.07,42,2.89,20,1.37,47.62,22,1.51,52.38,4,0.27,2.89,56.25,10,25,15,0.69,1.72,8,0.55,0,3,0.08,0,0.21,0,0,0,9.89,1.36,1.85,10.91,0,3.37,97,100,1,94,97,98,95,96,93,92,94,74,3,2,93
"Wessel Dammers","D (C), DM, M (C)",28,"185 cm","81 kg","-","Randers FC","3F Superliga","NED","-","-","Scouting Required","$5,000 p/w","$700K - $1.6M","-","Right",17,1409,6.8,0,82.88,11,26,1.66,18,1.15,8,69,0.51,4,0.26,1.86,28,1.79,9,0.57,5,0.32,73,4.66,53,3.39,72.6,20,1.28,27.4,6,0.38,4.66,71.72,1,14,13,0.06,0.89,16,1.02,0,3,0.12,0,0.19,0,0,0,4.28,0.06,0.19,13.2,0,0.26,25,100,18,35,12,24,19,29,9,15,9,5,16,10,65
"Rodri","D (C), DM, M (C)",27,"191 cm","75 kg","-","Man City","Premier League","ESP","-","Professional","Unflappable","$205,000 p/w","$293M - $365M","-","Right",21,1759,7.03,0,83.76,12,47,2.4,34,1.74,13,72,0.67,2,0.1,2.14,27,1.38,2,0.1,1,0.05,70,3.58,58,2.97,82.86,12,0.61,17.14,6,0.31,3.58,78.63,12,22,10,0.61,1.13,7,0.36,0,3,0.06,0,0.15,0,0,0,10.34,1.19,1.59,11.59,0,3.12,95,100,1,93,96,92,85,83,85,86,87,55,10,0,95
"Erhan Mašović","D (C), DM, M (C)",25,"189 cm","82 kg","-","VfL Bochum","Bundesliga","SRB (BIH)","-","-","Scouting Required","$19,500 p/w","$475K - $4.8M","-","Right",17,1530,6.66,0,90,13,34,2,31,1.82,3,91,0.18,7,0.41,1.89,27,1.59,12,0.71,9,0.53,80,4.71,46,2.71,57.5,34,2,42.5,9,0.53,4.71,67.54,0,18,18,0,1.06,21,1.24,0,0,0,0,0,0,0,0,4.18,0.33,0.53,16.92,0,1,5,100,74,21,2,11,17,7,28,13,27,20,20,20,44
"Mats Wieffer","D (C), DM, M (C)",24,"188 cm","81 kg","Wnt","Feyenoord","Eredivisie","NED","-","Fairly Professional","Level-headed","$8,500 p/w","$51M - $61M","-","Right",23,1802,7.23,0,78.35,14,51,2.55,43,2.15,8,84,0.4,1,0.05,4.25,43,2.15,3,0.15,0,0,124,6.19,74,3.7,59.68,50,2.5,40.32,8,0.4,6.19,66.86,15,12,-3,0.75,0.6,6,0.3,0,2,0.04,0,0.1,0,3,0,14.13,3.03,2.45,13.87,0,6.94,100,100,13,96,99,100,100,99,100,99,100,93,26,12,97
"Ko Itakura","D (C), DM, M (C)",26,"188 cm","74 kg","Wnt","Mönchengladbach","Bundesliga","JPN","-","-","Scouting Required","$41,000 p/w","$9.2M - $15M","-","Right",17,1530,6.78,0,90,15,17,1,15,0.88,2,88,0.12,2,0.12,1.89,36,2.12,11,0.65,7,0.41,101,5.94,47,2.76,46.53,54,3.18,53.47,5,0.29,5.94,52.54,1,9,8,0.06,0.53,13,0.76,0,2,0.12,0,0.12,0,0,1,5.65,0.11,0.18,11.33,0,0.35,12,100,28,24,6,6,5,11,3,5,3,10,14,16,61
"Emre Can","D (C), DM, M (C)",29,"186 cm","86 kg","-","Borussia Dortmund","Bundesliga","GER (TUR)","-","Fairly Determined","Media-friendly","$165,000 p/w","$78M - $119M","-","Right",20,1767,7.01,0,88.35,16,52,2.65,36,1.83,16,69,0.81,1,0.05,2.08,33,1.68,9,0.46,5,0.25,66,3.36,36,1.83,54.55,30,1.53,45.45,3,0.15,3.36,61.02,12,25,13,0.61,1.27,8,0.41,0,5,0.1,0,0.25,0,1,0,11.82,1.61,1.38,10.67,0,3.36,84,100,2,84,88,94,95,90,93,89,93,83,1,2,56
"Paddy McNair","D (C), DM, M (C)",28,"188 cm","72 kg","Wnt","Middlesbrough","Sky Bet Championship","NIR","Trained at club (0-21)","-","Scouting Required","$31,500 p/w","$5.2M - $8.2M","-","Right",15,1417,7.04,8,61.61,17,21,1.33,18,1.14,3,86,0.19,3,0.19,1,34,2.16,8,0.51,4,0.25,86,5.46,45,2.86,52.33,41,2.6,47.67,3,0.19,5.46,58.88,6,21,15,0.38,1.33,10,0.64,0,3,0.14,0,0.19,0,2,0,10.23,2.74,1.46,11.85,0,4.7,78,100,14,86,91,97,96,98,98,99,98,100,10,7,74
"Vladan Bubanja","D (C), DM, M (C)",24,"194 cm","80 kg","-","NK Lokomotiva","SuperSport HNL","MNE","-","-","Scouting Required","$1,400 p/w","$50K - $500K","-","Right",16,1325,6.78,3,69.74,18,38,2.58,29,1.97,9,76,0.61,2,0.14,6.33,29,1.97,10,0.68,4,0.27,133,9.03,96,6.52,72.18,37,2.51,27.82,19,1.29,9.03,73.1,6,6,0,0.41,0.41,11,0.75,0,0,0,0,0,0,0,0,13.52,1.39,1.29,23.95,0,3.87,36,100,39,62,59,75,71,65,77,71,83,73,95,87,59
"De Lucca","D (C), DM, M (C)",23,"182 cm","75 kg","-","Vasco da Gama","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$4,500 p/w","$275K - $2.8M","-","Right",19,1729,6.85,10,59.62,19,50,2.6,44,2.29,6,88,0.31,1,0.05,1.43,30,1.56,11,0.57,0,0,84,4.37,49,2.55,58.33,35,1.82,41.67,6,0.31,4.37,69.4,12,35,23,0.62,1.82,20,1.04,2,6,0.12,0.04,0.31,0.1,1,0,11.66,1.13,1.56,12.83,0,3.75,77,100,22,55,72,86,73,78,85,91,81,88,9,2,70
"Kévin N'Doram","D (C), DM, M (C)",27,"184 cm","76 kg","-","Metz","Ligue 1 Uber Eats","FRA (CHA)","-","-","Scouting Required","$6,500 p/w","$170K - $1.7M","-","Right",15,1347,6.73,0,89.8,20,45,3.01,27,1.8,18,60,1.2,0,0,3,23,1.54,6,0.4,5,0.33,78,5.21,41,2.74,52.56,37,2.47,47.44,1,0.07,5.21,55.28,3,15,12,0.2,1,14,0.94,0,1,0.02,0,0.07,0,0,0,11.02,0.88,0.47,9.62,0,1.94,68,100,1,50,68,63,58,63,66,63,62,49,7,1,71
"Ethan Ampadu","D (C), DM, M (C)",23,"182 cm","78 kg","-","Leeds","Sky Bet Championship","WAL (ENG)","Trained in nation (0-21)","-","Scouting Required","$43,500 p/w","$19M - $30M","-","Right",19,1551,7.02,1,77.55,21,34,1.97,29,1.68,5,85,0.29,3,0.17,2.83,29,1.68,8,0.46,4,0.23,59,3.42,40,2.32,67.8,19,1.1,32.2,5,0.29,3.42,74.19,12,12,0,0.7,0.7,8,0.46,0,2,0.06,0,0.12,0,1,0,10.97,1.44,1.39,13.23,0,3.13,91,100,7,86,92,88,79,87,91,94,84,60,5,4,96
"Ben Sheaf","D (C), DM, M (C)",25,"185 cm","71 kg","-","Coventry","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$8,000 p/w","$11M - $18M","-","Right",20,1765,6.96,3,76.74,22,66,3.37,51,2.6,15,77,0.76,3,0.15,6,42,2.14,23,1.17,11,0.56,127,6.48,85,4.33,66.93,42,2.14,33.07,13,0.66,6.48,70.47,3,11,8,0.15,0.56,12,0.61,0,1,0.02,0,0.05,0,1,0,10.45,1.51,1.17,19.71,0,3.31,94,100,43,88,96,93,90,93,93,94,92,77,46,58,96
"Kenny McLean","D (C), DM, M (C)",31,"183 cm","69 kg","-","Norwich","Sky Bet Championship","SCO","-","-","Scouting Required","$25,000 p/w","Not for Sale","-","Left",18,1416,6.79,0,78.67,23,44,2.8,35,2.22,9,80,0.57,5,0.32,3.14,25,1.59,7,0.44,2,0.13,104,6.61,67,4.26,64.42,37,2.35,35.58,14,0.89,6.61,68.92,7,14,7,0.44,0.89,7,0.44,0,2,0.05,0,0.13,0,0,0,14.24,1.32,1.72,21.64,0,4.13,59,100,18,51,64,82,73,69,78,76,85,76,60,55,58
"Alfie Jones","D (C), DM, M (C)",26,"183 cm","77 kg","-","Hull","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$10,000 p/w","$180K - $1.8M","-","Right",24,2078,6.9,1,83.12,24,30,1.3,19,0.82,11,63,0.48,3,0.13,2.73,46,1.99,10,0.43,7,0.3,186,8.06,146,6.32,78.49,40,1.73,21.51,21,0.91,8.06,76.39,3,11,8,0.13,0.48,20,0.87,0,4,0.13,0,0.17,0,0,0,4.81,0.4,0.3,17.93,0,1.34,30,100,7,29,29,26,16,30,17,24,13,47,83,47,42
"Jimmy Giraudon","D (C), DM, M (C)",31,"184 cm","66 kg","-","Hajduk","SuperSport HNL","FRA","-","-","Scouting Required","$6,000 p/w","$2K - $22K","-","Right Only",18,1514,6.97,2,75.7,25,28,1.66,22,1.31,6,79,0.36,3,0.18,1,25,1.49,5,0.3,2,0.12,102,6.06,64,3.8,62.75,38,2.26,37.25,9,0.54,6.06,66.15,8,28,20,0.48,1.66,26,1.55,0,2,0.07,0,0.12,0,0,0,10.34,1.31,0.95,14.92,0,2.91,84,100,10,63,85,95,94,86,92,93,95,97,32,6,73
"Kristijan Jakić","D (C), DM, M (C)",26,"181 cm","75 kg","-","Augsburg","Bundesliga","CRO","-","Fairly Determined","Media-friendly","$37,000 p/w","$1M - $4.8M","-","Right",15,1323,6.62,0,88.2,26,41,2.79,26,1.77,15,63,1.02,1,0.07,1.28,34,2.31,5,0.34,4,0.27,65,4.42,33,2.24,50.77,32,2.18,49.23,5,0.34,4.42,55.66,4,32,28,0.27,2.18,16,1.09,0,4,0.1,0,0.27,0,0,1,11.97,1.05,0.61,13.09,0,2.11,53,100,3,48,62,57,52,50,63,58,61,63,9,16,71
"Declan Rice","D (C), DM, M (C)",24,"185 cm","80 kg","-","Arsenal","Premier League","ENG (IRL)","Trained in nation (15-21)","Light-Hearted","Evasive, Reserved","$300,000 p/w","$285M - $313M","-","Right",20,1677,7.21,0,83.85,27,59,3.17,40,2.15,19,68,1.02,0,0,2.57,32,1.72,6,0.32,6,0.32,54,2.9,32,1.72,59.26,22,1.18,40.74,5,0.27,2.9,63.72,26,23,-3,1.4,1.23,18,0.97,0,1,0.02,0,0.05,0,2,0,11.16,2.53,2.47,11.62,0,4.72,99,100,1,97,100,99,97,99,99,100,99,95,3,2,98
"Mihael Žaper","D (C), DM, M (C)",25,"188 cm","75 kg","-","Hajduk","SuperSport HNL","CRO","-","-","Scouting Required","$12,250 p/w","$550K - $5.4M","-","Right",16,1272,6.86,1,74.82,28,25,1.77,16,1.13,9,64,0.64,0,0,1.39,24,1.7,6,0.42,5,0.35,74,5.24,37,2.62,50,37,2.62,50,6,0.42,5.24,53.54,6,18,12,0.42,1.27,4,0.28,0,3,0.12,0,0.21,0,0,1,15.78,1.66,1.77,12.08,0,3.89,91,100,0,88,98,94,90,91,95,97,93,90,16,3,94
"Kristoffer Ajer","D (C), DM, M (C)",25,"196 cm","92 kg","-","Brentford","Premier League","NOR","-","-","Scouting Required","$50,000 p/w","$32M - $41M","-","Right",19,1648,6.74,0,86.74,29,32,1.75,21,1.15,11,66,0.6,4,0.22,5.33,38,2.08,4,0.22,4,0.22,112,6.12,80,4.37,71.43,32,1.75,28.57,23,1.26,6.12,70.14,3,6,3,0.16,0.33,21,1.15,0,0,0,0,0,0,0,1,5.68,0.63,0.11,20.35,0,1.09,15,100,16,30,17,14,41,26,24,25,21,59,69,71,0
"Peer Koopmeiners","D (C), DM, M (C)",23,"183 cm","67 kg","-","Almere City","Eredivisie","NED","-","-","Scouting Required","$1,900 p/w","$2.2M - $4.7M","-","Right",14,1196,6.89,3,70.35,30,35,2.63,28,2.11,7,80,0.53,3,0.23,5,20,1.51,3,0.23,2,0.15,35,2.63,15,1.13,42.86,20,1.51,57.14,4,0.3,2.63,61.43,6,7,1,0.45,0.53,10,0.75,0,0,0,0,0,0,0,1,9.78,0.99,1.66,13.53,0,2.48,93,100,9,85,86,88,80,81,84,84,80,30,4,2,97
"Edson Álvarez","D (C), DM, M (C)",26,"185 cm","73 kg","-","West Ham","Premier League","MEX","-","-","Scouting Required","$125,000 p/w","$50M - $64M","-","Right",16,1360,6.94,4,68,31,62,4.1,44,2.91,18,71,1.19,1,0.07,2.95,28,1.85,10,0.66,7,0.46,71,4.7,52,3.44,73.24,19,1.26,26.76,8,0.53,4.7,72.18,4,21,17,0.26,1.39,13,0.86,0,2,0.03,0,0.13,0,2,0,16.21,1.26,0.66,16.03,0,2.78,98,100,15,73,95,93,91,92,91,96,90,94,23,17,87
"Danilo Barbosa","D (C), DM, M (C)",27,"183 cm","74 kg","-","BOT","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$17,250 p/w","$600K - $6M","-","Right",31,2496,6.86,9,62.4,32,69,2.49,51,1.84,18,74,0.65,3,0.11,1.6,47,1.69,18,0.65,4,0.14,133,4.8,82,2.96,61.65,51,1.84,38.35,11,0.4,4.8,65.84,12,43,31,0.43,1.55,23,0.83,0,6,0.09,0,0.22,0,0,0,11.43,1.55,1.37,13.69,0,3.25,76,100,7,82,83,90,89,86,91,89,92,84,16,12,94
"Cláudio Falcão","D (C), DM, M (C)",29,"187 cm","79 kg","-","Sp. Farense","Liga Portugal Betclic","BRA (POR)","-","-","Scouting Required","$2,000 p/w","$120K - $1.2M","-","Right",17,1530,6.76,0,90,33,52,3.06,36,2.12,16,69,0.94,3,0.18,2.26,29,1.71,9,0.53,5,0.29,74,4.35,42,2.47,56.76,32,1.88,43.24,4,0.24,4.35,61.9,8,23,15,0.47,1.35,39,2.29,0,4,0.08,0,0.24,0,0,0,10.59,1.19,1.06,14.2,0,2.18,70,100,17,40,70,70,72,55,81,82,83,91,6,7,65
"Oleksandr Petrusenko","D (C), DM, M (C)",25,"180 cm","77 kg","-","Istra 1961","SuperSport HNL","UKR","-","-","Scouting Required","$1,200 p/w","$130K - $400K","-","Right",17,1496,6.86,3,74.8,34,41,2.47,34,2.05,7,83,0.42,5,0.3,2.16,27,1.62,7,0.42,5,0.3,87,5.23,49,2.95,56.32,38,2.29,43.68,8,0.48,5.23,64.84,5,19,14,0.3,1.14,11,0.66,0,2,0.05,0,0.12,0,0,0,11.73,1.24,1.44,15.75,0,2.11,80,100,15,73,77,76,72,67,82,75,80,34,20,14,100
"Thomas Beelen","D (C), DM, M (C)",22,"190 cm","84 kg","-","Feyenoord","Eredivisie","NED","-","-","Scouting Required","$6,500 p/w","$5.6M - $9M","-","Right",8,1022,7.05,14,46.45,35,20,1.76,16,1.41,4,80,0.35,3,0.26,2.5,21,1.85,2,0.18,3,0.26,73,6.43,46,4.05,63.01,27,2.38,36.99,7,0.62,6.43,66.67,3,8,5,0.26,0.7,6,0.53,0,0,0,0,0,0,0,1,8.63,1.99,1.41,15.87,0,3.79,96,100,26,91,95,99,99,96,98,98,99,99,40,26,86
"Hugo Guillamón","D (C), DM, M (C)",23,"182 cm","76 kg","-","Valencia","LaLiga EA Sports","ESP (BAS)","-","-","Scouting Required","$33,000 p/w","$20M - $24M","-","Right",14,1159,6.96,0,82.79,36,43,3.34,25,1.94,18,58,1.4,0,0,1.95,28,2.17,4,0.31,2,0.16,39,3.03,21,1.63,53.85,18,1.4,46.15,5,0.39,3.03,56.1,4,22,18,0.31,1.71,7,0.54,0,4,0.09,0,0.31,0,2,1,13.43,1.85,2.25,12.87,0,4.89,95,100,2,92,96,98,95,93,96,97,97,95,9,11,82
"Jaílson","D (C), DM, M (C)",28,"187 cm","75 kg","-","Celta","LaLiga EA Sports","BRA","-","-","Scouting Required","$4,800 p/w","$375K - $3.9M","-","Right",18,1566,6.84,0,87,37,56,3.22,39,2.24,17,70,0.98,0,0,1.47,29,1.67,12,0.69,6,0.34,62,3.56,46,2.64,74.19,16,0.92,25.81,3,0.17,3.56,72.03,5,38,33,0.29,2.18,21,1.21,0,6,0.11,0,0.34,0,0,1,10.52,1.37,1.32,12.61,0,3.28,81,100,9,79,92,88,82,88,87,88,87,87,4,3,69
"Art Smakaj","D (C), DM, M (C)",20,"178 cm","75 kg","-","NK Lokomotiva","SuperSport HNL","CRO (KOS)","-","-","Scouting Required","$350 p/w","$375K - $3.7M","-","Right",12,1104,6.72,7,58.11,38,34,2.77,28,2.28,6,82,0.49,1,0.08,3.09,12,0.98,5,0.41,4,0.33,79,6.44,26,2.12,32.91,53,4.32,67.09,3,0.24,6.44,47.79,1,11,10,0.08,0.9,16,1.3,0,1,0.03,0,0.08,0,0,1,13.37,1.47,1.47,11.77,0,3.59,65,100,5,56,75,86,83,72,87,89,89,93,13,0,58
"Zé Gabriel","D (C), DM, M (RC), AM (R)",24,"185 cm","77 kg","Inj","Vasco da Gama","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$5,500 p/w","$700K - $7M","-","Right",37,3250,6.9,3,81.25,39,127,3.52,91,2.52,36,72,1,3,0.08,2.15,60,1.66,13,0.36,7,0.19,156,4.32,79,2.19,50.64,77,2.13,49.36,14,0.39,4.32,60.07,31,59,28,0.86,1.63,28,0.78,0,3,0.02,0,0.08,0,1,0,12.21,1.34,1.3,13.96,0,3.24,71,100,2,83,74,74,54,84,76,81,67,40,10,8,92
"Diego Costa","D (C), DM",24,"184 cm","67 kg","-","SPO","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$18,750 p/w","$9.8M - $12M","-","Right",37,3224,6.94,0,87.14,40,72,2.01,61,1.7,11,85,0.31,14,0.39,4.5,83,2.32,25,0.7,18,0.5,218,6.09,139,3.88,63.76,79,2.21,36.24,12,0.33,6.09,68.97,7,16,9,0.2,0.45,41,1.14,0,4,0.06,0,0.11,0,1,1,6.2,0.65,0.59,17.32,0,1.84,64,100,93,59,40,74,66,62,63,61,66,63,22,59,58
"Alemão","D (C), DM",21,"194 cm","87 kg","-","Portimonense","Liga Portugal Betclic","BRA","-","-","Scouting Required","$1,200 p/w","$2.9M - $6.2M","-","Right",14,1295,6.84,1,86.33,41,32,2.22,23,1.6,9,72,0.63,5,0.35,6.4,19,1.32,6,0.42,4,0.28,111,7.71,89,6.19,80.18,22,1.53,19.82,17,1.18,7.71,78.32,2,5,3,0.14,0.35,27,1.88,0,2,0.06,0,0.14,0,0,0,5.56,0.14,0.28,22.77,0,0.97,10,100,57,12,4,19,11,10,7,11,12,26,89,76,35
"Jack Stephens","D (C), DM",29,"185 cm","84 kg","-","Southampton","Sky Bet Championship","ENG","Trained in nation (15-21)","-","Scouting Required","$37,500 p/w","$9.4M - $15M","-","Right",24,2115,7.03,2,81.35,42,34,1.45,20,0.85,14,59,0.6,6,0.26,3.78,57,2.43,5,0.21,3,0.13,141,6,94,4,66.67,47,2,33.33,8,0.34,6,65.14,1,9,8,0.04,0.38,13,0.55,0,3,0.09,0,0.13,0,0,0,4.38,0.36,0.13,12.89,0,0.85,53,100,10,44,33,58,59,66,36,55,35,70,25,27,28
"Sadik Fofana","D (C), DM",20,"192 cm","78 kg","-","Fortuna Sittard","Eredivisie","GER (TOG)","-","Balanced","Media-friendly","$7,250 p/w","$200K - $550K","-","Right",14,1210,6.96,3,71.18,43,48,3.57,44,3.27,4,92,0.3,2,0.15,3,28,2.08,3,0.22,2,0.15,71,5.28,45,3.35,63.38,26,1.93,36.62,5,0.37,5.28,74.79,4,16,12,0.3,1.19,11,0.82,0,1,0.02,0,0.07,0,0,0,8.93,1.31,1.26,16.66,0,2.75,90,100,35,78,85,86,83,79,89,90,86,78,18,37,75
"Edmond Tapsoba","D (C), DM",24,"192 cm","85 kg","-","Bayer 04","Bundesliga","BFA","-","-","Scouting Required","$105,000 p/w","$47M - $75M","-","Right",22,1975,6.95,1,85.87,44,38,1.73,32,1.46,6,84,0.27,7,0.32,3.17,52,2.37,9,0.41,8,0.36,120,5.47,80,3.65,66.67,40,1.82,33.33,17,0.77,5.47,70.89,4,12,8,0.18,0.55,15,0.68,0,2,0.05,0,0.09,0,1,1,5.06,0.44,0.23,18.47,0,0.87,63,100,65,67,48,72,86,59,54,59,67,56,39,68,35
"Chumi","D (C), DM",24,"186 cm","78 kg","Wnt","Almería","LaLiga EA Sports","ESP","-","-","Scouting Required","$6,500 p/w","$275K - $2.8M","-","Right",19,1706,6.7,1,85.3,45,42,2.22,28,1.48,14,67,0.74,5,0.26,2.47,49,2.58,12,0.63,8,0.42,127,6.7,91,4.8,71.65,36,1.9,28.35,14,0.74,6.7,70.41,0,17,17,0,0.9,32,1.69,0,2,0.05,0,0.11,0,1,0,3.17,0.21,0,19.02,0,0.53,27,100,71,14,10,12,20,13,6,13,11,59,56,74,0
