"Name","Position","Age","Height","Weight","Inf","Club","Division","Nationality","Home-Grown","Personality","Media Handling","Wage","Transfer Value","Asking Price","Preferred Foot","Starts","Minutes Played","Average Rating","Sub Appearances","Minutes/Game","index","Tackles Attempted","Tackles Attempted/90","Tackles Completed","Tackles Completed/90","Tackles Failed","Tackle Completion %","Tackles Failed/90","Key Tackles","Key Tackles/90","Tackle Quality","Interceptions","Interceptions/90","Blocks","Blocks/90","Shots Blocked","Shots Blocked/90","Headers Attempted","Headers Attempted/90","Headers Won","Headers Won/90","Headers Won %","Headers Lost","Headers Lost/90","Headers Lost %","Key Headers","Key Headers/90","Aerial Challenges Attempted/90","Duels Win %","Fouls Against","Fouls Made","Net Fouls","Fouls Won/90","Fouls Committed/90","Clearances","Clearances/90","Red Cards","Yellow Cards","Yellows/Tackle","Reds/Tackle","Yellows/90","Reds/90","Player of the Match","Mistakes Leading to Goal","Sprints/90","Attacking Actions/90","Creative Actions/90","Defensive Actions/90","Goalkeeping Actions/90","Excitement Factor/90","General Performance","Goalkeeping","Defensive Defender","Creative Defender","Attacking Defender","Creative Midfielder","Attacking Midfielder","Creative Winger","Attacking Winger","Creative Forward","Attacking Forward","Finisher","Aerial Threat","Reader","Assister"
"Luan","D (C)",30,"189 cm","86 kg","-","SEP","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$14,750 p/w","$4.3M - $6.8M","-","Right Only",49,4238,6.86,4,79.96,127,75,1.59,62,1.32,13,83,0.28,15,0.32,2.08,94,2,18,0.38,18,0.38,339,7.2,221,4.69,65.19,118,2.51,34.81,31,0.66,7.2,68.36,10,36,26,0.21,0.76,54,1.15,2,10,0.13,0.03,0.21,0.04,0,1,6.01,0.53,0.53,17.58,0,1.47,85,100,58,64,77,59,52,68,50,47,53,49,54,54,59
"Gustavo Henrique","D (C)",30,"196 cm","89 kg","-","COR","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$9,750 p/w","$750K - $7.4M","-","Right",17,1542,7.03,3,77.1,128,20,1.17,12,0.7,8,60,0.47,5,0.29,3.33,24,1.4,8,0.47,7,0.41,143,8.35,122,7.12,85.31,21,1.23,14.69,21,1.23,8.35,82.21,0,6,6,0,0.35,20,1.17,0,1,0.05,0,0.06,0,1,0,4.38,0.51,0.23,21.7,0,1.23,41,100,23,18,30,65,69,51,41,52,59,86,94,67,28
"Antônio Carlos","D (C)",30,"191 cm","79 kg","-","FLU","Campeonato Brasileiro Série A Assaí","BRA (USA)","-","-","Scouting Required","$11,000 p/w","$3.3M - $7M","-","Right",15,1398,6.96,9,58.25,129,19,1.22,16,1.03,3,84,0.19,3,0.19,1.58,43,2.77,6,0.39,4,0.26,121,7.79,102,6.57,84.3,19,1.22,15.7,13,0.84,7.79,84.29,1,12,11,0.06,0.77,26,1.67,0,1,0.05,0,0.06,0,1,2,6.44,0.68,0.13,20.03,0,0.97,63,100,82,34,57,69,85,59,63,63,73,94,80,88,0
"Gautier Lloris","D (C)",28,"192 cm","87 kg","-","Havre AC","Ligue 1 Uber Eats","FRA","-","-","Scouting Required","$14,250 p/w","$750K - $7.4M","-","Left Only",17,1530,6.72,0,90,130,31,1.82,23,1.35,8,74,0.47,9,0.53,2.82,17,1,10,0.59,9,0.53,112,6.59,79,4.65,70.54,33,1.94,29.46,13,0.76,6.59,71.33,1,11,10,0.06,0.65,45,2.65,0,2,0.06,0,0.12,0,0,0,3.88,0.47,0.53,20.81,0,1.41,33,100,45,5,34,45,43,10,44,34,62,81,57,39,17
"Brendan Chardonnet","D (C)",29,"183 cm","80 kg","-","Brest","Ligue 1 Uber Eats","FRA","-","-","Scouting Required","$14,500 p/w","$700K - $7.2M","-","Right",17,1530,6.72,0,90,131,29,1.71,21,1.24,8,72,0.47,9,0.53,9.67,25,1.47,11,0.65,11,0.65,133,7.82,104,6.12,78.2,29,1.71,21.8,25,1.47,7.82,77.16,2,3,1,0.12,0.18,15,0.88,0,0,0,0,0,0,0,3,4.53,0.11,0.18,25.48,0,0.47,8,100,58,11,3,5,5,6,3,4,3,3,92,85,17
"Marlon","D (C)",28,"182 cm","80 kg","-","FLU","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$8,250 p/w","$13.5M - $21M","-","Right",44,3660,6.93,0,83.18,132,51,1.25,43,1.06,8,84,0.2,15,0.37,2.43,82,2.02,28,0.69,17,0.42,251,6.17,185,4.55,73.71,66,1.62,26.29,28,0.69,6.17,75.5,7,21,14,0.17,0.52,51,1.25,1,9,0.18,0.02,0.22,0.02,3,0,4.94,0.34,0.27,18.43,0,0.84,35,100,89,47,18,29,33,32,15,17,15,32,48,64,28
"Jemerson","D (C)",31,"184 cm","77 kg","-","ATM","Campeonato Brasileiro Série A Assaí","BRA","-","-","Scouting Required","$25,500 p/w","$70K - $700K","-","Right",42,3913,6.81,5,83.26,133,59,1.36,41,0.94,18,69,0.41,7,0.16,1.44,65,1.5,24,0.55,16,0.37,301,6.92,211,4.85,70.1,90,2.07,29.9,26,0.6,6.92,70,7,41,34,0.16,0.94,52,1.2,0,7,0.12,0,0.16,0,1,0,4.49,0.42,0.51,15.2,0,1.08,43,100,10,48,42,31,16,37,25,31,17,15,50,20,69
"Marcão","D (C)",27,"185 cm","80 kg","-","Sevilla","LaLiga EA Sports","BRA","-","-","Scouting Required","$34,500 p/w","$9.6M - $15.5M","-","Left",23,1909,6.61,0,83,134,54,2.55,42,1.98,12,78,0.57,9,0.42,2,39,1.84,13,0.61,8,0.38,121,5.7,78,3.68,64.46,43,2.03,35.54,20,0.94,5.7,68.57,3,27,24,0.14,1.27,24,1.13,0,2,0.04,0,0.09,0,0,2,9.48,0.4,0.52,20.43,0,1.37,32,100,54,48,46,18,7,28,34,40,16,2,51,60,28
"Maracás","D (C)",29,"184 cm","78 kg","-","Moreirense","Liga Portugal Betclic","BRA","-","-","Scouting Required","$2,400 p/w","$700K - $1.6M","-","Right",13,1185,6.68,1,84.64,135,20,1.52,15,1.14,5,75,0.38,5,0.38,2.86,9,0.68,4,0.3,3,0.23,92,6.99,63,4.78,68.48,29,2.2,31.52,11,0.84,6.99,69.64,0,7,7,0,0.53,23,1.75,0,1,0.05,0,0.08,0,0,1,3.87,0.36,0,18.2,0,0.61,0,100,16,2,0,7,28,2,13,4,27,39,63,17,35
"Igor Rabello","D (C)",28,"190 cm","78 kg","-","ATM","Campeonato Brasileiro Série A Assaí","BRA (POR)","-","-","Scouting Required","$14,000 p/w","$10.5M - $16.5M","-","Right",46,3906,6.99,0,84.91,136,55,1.27,41,0.94,14,75,0.32,11,0.25,1.83,65,1.5,27,0.62,19,0.44,323,7.44,241,5.55,74.61,82,1.89,25.39,38,0.88,7.44,74.6,8,30,22,0.18,0.69,57,1.31,0,8,0.15,0,0.18,0,3,1,4.12,0.44,0.46,18.67,0,1.38,47,100,30,26,28,58,48,44,50,52,55,56,74,50,44
